"DATE_NAME","GEOGRAPHY_NAME","CELL_NAME","OBS_VALUE"
"Jan 2019-Dec 2019","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",291900
"Jan 2019-Dec 2019","Glasgow City","T01:22 (Aged 16-64 - All : All People )",433500
"Jan 2019-Dec 2019","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2574800
"Jan 2019-Dec 2019","Scotland","T01:22 (Aged 16-64 - All : All People )",3442200
"Apr 2019-Mar 2020","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",284600
"Apr 2019-Mar 2020","Glasgow City","T01:22 (Aged 16-64 - All : All People )",432100
"Apr 2019-Mar 2020","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2564100
"Apr 2019-Mar 2020","Scotland","T01:22 (Aged 16-64 - All : All People )",3442500
"Jul 2019-Jun 2020","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",289200
"Jul 2019-Jun 2020","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434400
"Jul 2019-Jun 2020","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2554900
"Jul 2019-Jun 2020","Scotland","T01:22 (Aged 16-64 - All : All People )",3440600
"Oct 2019-Sep 2020","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",294500
"Oct 2019-Sep 2020","Glasgow City","T01:22 (Aged 16-64 - All : All People )",433800
"Oct 2019-Sep 2020","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2539500
"Oct 2019-Sep 2020","Scotland","T01:22 (Aged 16-64 - All : All People )",3438800
"Jan 2020-Dec 2020","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",304800
"Jan 2020-Dec 2020","Glasgow City","T01:22 (Aged 16-64 - All : All People )",436800
"Jan 2020-Dec 2020","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2523000
"Jan 2020-Dec 2020","Scotland","T01:22 (Aged 16-64 - All : All People )",3436800
"Apr 2020-Mar 2021","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",307000
"Apr 2020-Mar 2021","Glasgow City","T01:22 (Aged 16-64 - All : All People )",437900
"Apr 2020-Mar 2021","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2500400
"Apr 2020-Mar 2021","Scotland","T01:22 (Aged 16-64 - All : All People )",3433900
"Jul 2020-Jun 2021","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",303200
"Jul 2020-Jun 2021","Glasgow City","T01:22 (Aged 16-64 - All : All People )",436400
"Jul 2020-Jun 2021","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2478600
"Jul 2020-Jun 2021","Scotland","T01:22 (Aged 16-64 - All : All People )",3431800
"Oct 2020-Sep 2021","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",305500
"Oct 2020-Sep 2021","Glasgow City","T01:22 (Aged 16-64 - All : All People )",436200
"Oct 2020-Sep 2021","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2499500
"Oct 2020-Sep 2021","Scotland","T01:22 (Aged 16-64 - All : All People )",3429800
"Jan 2021-Dec 2021","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",303600
"Jan 2021-Dec 2021","Glasgow City","T01:22 (Aged 16-64 - All : All People )",435400
"Jan 2021-Dec 2021","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2507800
"Jan 2021-Dec 2021","Scotland","T01:22 (Aged 16-64 - All : All People )",3427200
"Apr 2021-Mar 2022","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",311800
"Apr 2021-Mar 2022","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434000
"Apr 2021-Mar 2022","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2532000
"Apr 2021-Mar 2022","Scotland","T01:22 (Aged 16-64 - All : All People )",3430300
"Jul 2021-Jun 2022","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",317600
"Jul 2021-Jun 2022","Glasgow City","T01:22 (Aged 16-64 - All : All People )",435200
"Jul 2021-Jun 2022","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2555200
"Jul 2021-Jun 2022","Scotland","T01:22 (Aged 16-64 - All : All People )",3433400
"Oct 2021-Sep 2022","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",313600
"Oct 2021-Sep 2022","Glasgow City","T01:22 (Aged 16-64 - All : All People )",432900
"Oct 2021-Sep 2022","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2558900
"Oct 2021-Sep 2022","Scotland","T01:22 (Aged 16-64 - All : All People )",3436300
"Jan 2022-Dec 2022","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",311100
"Jan 2022-Dec 2022","Glasgow City","T01:22 (Aged 16-64 - All : All People )",431300
"Jan 2022-Dec 2022","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2559900
"Jan 2022-Dec 2022","Scotland","T01:22 (Aged 16-64 - All : All People )",3439500
"Apr 2022-Mar 2023","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",310100
"Apr 2022-Mar 2023","Glasgow City","T01:22 (Aged 16-64 - All : All People )",431400
"Apr 2022-Mar 2023","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2572600
"Apr 2022-Mar 2023","Scotland","T01:22 (Aged 16-64 - All : All People )",3443200
